fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,symbol
9/30/2021,USD,3601000000,10791000000,7190000000,4423000000,2546000000,2767000000,672000000,3439000000,10000000,-133000000,127000000,133000000,10924000000,74000000,327000000,520000000,2493000000,393000000,133000000,2100000000,1926000000,2626000000,3146000000,2100000000,ABT
6/30/2021,USD,2416000000,10089000000,7673000000,4947000000,1392000000,2726000000,654000000,3380000000,11000000,-134000000,123000000,134000000,10223000000,79000000,370000000,504000000,1348000000,159000000,134000000,1189000000,1408000000,1482000000,1986000000,1189000000,ABT
3/31/2021,USD,2624000000,10318000000,7694000000,4401000000,2109000000,2783000000,654000000,3962000000,11000000,-135000000,127000000,135000000,10453000000,61000000,425000000,509000000,2043000000,250000000,135000000,1793000000,1454000000,2178000000,2687000000,1793000000,ABT
12/31/2020,USD,2963000000,10570000000,7607000000,4493000000,2432000000,2570000000,698000000,3837000000,9000000,-136000000,122000000,136000000,10706000000,78000000,358000000,508000000,2392000000,230000000,136000000,2158000000,2260000000,2528000000,3036000000,2162000000,ABT
9/30/2020,USD,2455000000,8723000000,6268000000,3966000000,1495000000,2302000000,580000000,2882000000,10000000,-137000000,120000000,137000000,8860000000,46000000,298000000,510000000,1421000000,189000000,137000000,1232000000,1268000000,1558000000,2068000000,1232000000,ABT
6/30/2020,USD,1656000000,7195000000,5539000000,3263000000,672000000,2276000000,564000000,2840000000,9000000,-134000000,9000000,134000000,7329000000,-22000000,272000000,553000000,526000000,-11000000,134000000,537000000,843000000,660000000,1213000000,537000000,ABT
3/31/2020,USD,1192000000,7582000000,6390000000,3281000000,758000000,2548000000,578000000,3708000000,18000000,-139000000,18000000,139000000,7721000000,1000000,267000000,561000000,653000000,89000000,139000000,544000000,-357000000,792000000,1353000000,564000000,ABT
12/31/2019,USD,4397000000,8314000000,6330000000,3434000000,1389000000,2413000000,595000000,3491000000,25000000,-164000000,137000000,164000000,8314000000,51000000,273000000,483000000,1240000000,191000000,227000000,1049000000,347000000,1404000000,1887000000,1049000000,ABT
9/30/2019,USD,4234000000,7902000000,5798000000,3358000000,1198000000,2440000000,596000000,3036000000,24000000,-167000000,24000000,167000000,8069000000,55000000,270000000,484000000,1103000000,143000000,167000000,960000000,562000000,1270000000,1754000000,960000000,ABT
6/30/2019,USD,4217000000,7815000000,5713000000,3279000000,1206000000,2434000000,577000000,3011000000,22000000,-168000000,142000000,168000000,7983000000,38000000,268000000,483000000,1102000000,96000000,168000000,1006000000,1111000000,1270000000,1753000000,1006000000,ABT
3/31/2019,USD,3889000000,7358000000,6124000000,3160000000,739000000,2478000000,672000000,3636000000,23000000,-171000000,23000000,171000000,7529000000,47000000,267000000,486000000,632000000,-40000000,171000000,672000000,788000000,803000000,1289000000,672000000,ABT
12/31/2018,USD,4086000000,7765000000,6038000000,3191000000,1165000000,2359000000,562000000,3409000000,34000000,-186000000,None,186000000,7765000000,46000000,275000000,488000000,946000000,292000000,272000000,655000000,414000000,1132000000,1620000000,654000000,ABT
9/30/2018,USD,3946000000,7375000000,5543000000,3166000000,995000000,2377000000,574000000,2951000000,22000000,-203000000,None,203000000,7578000000,-18000000,269000000,544000000,729000000,166000000,270000000,552000000,467000000,932000000,1476000000,563000000,ABT
6/30/2018,USD,3923000000,7563000000,5748000000,3282000000,882000000,2466000000,575000000,3041000000,21000000,-210000000,None,210000000,7773000000,78000000,288000000,562000000,792000000,59000000,210000000,718000000,-447000000,1002000000,1564000000,733000000,ABT
